sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"20mEC","20M Extension Cable 10A",,"R 0.00","0","289","332.35","0","289","9","Yes","Yes"
"20MMCS","20MM Combination Spanner",,"R 34.50","34.5","41.4","47.61","16.67","6.9","10","Yes","Yes"
"20mPB","20mm Brass Padlock",,"R 36.87","7.37","50","57.5","85.26","42.63","5","Yes","Yes"
"20mS","20mm Spanner",,"R 0.00","0","51.75","59.51","0","51.75","5","Yes","Yes"
"20PTKTD","20 Piece Tork Craft M3-12 Tap & Die Set",,"R 333.51","333.51","510.52","587.1","34.67","177.01","0","Yes","Yes"
"20qdg","20 Litre Q/D Light Grey",,"R 0.00","0","1750","2012.5","0","1750","3","Yes","Yes"
"20vBP","20V Battery Pack 2.0AH",,"R 0.00","0","250","287.5","0","250","10","Yes","Yes"
"212JS","2Mx12mm Jiggler Syphon",,"R 0.00","0","266.5","306.47","0","266.5","9","Yes","Yes"
"22IDKR","22ID-OD Key Ring 2.5mm",,"R 2.73","2.73","128.99","148.34","97.88","126.26","45","Yes","Yes"
"22mmCPCVR","22mm Combination Spanner CR-V",,"R 46.12","46.12","54.02","62.12","14.62","7.9","9","Yes","Yes"
"22MMCS","22MM Combination Spanner",,"R 45.15","37.99","41.88","48.16","9.29","3.89","16","Yes","Yes"
"230mlCD","230 ml Cut Disc Pfred Steel",,"R 19.77","12.19","43","49.45","71.65","30.81","20","Yes","Yes"
"23MMCS","23MM Combination Spanner",,"R 43.86","43.86","52.63","60.52","16.66","8.77","10","Yes","Yes"
"24mmCPCVR","24mm Combination Spanner CR-V",,"R 0.00","0","59.71","68.67","0","59.71","9","Yes","Yes"
"24MMCS","24MM Combination Spanner",,"R 44.84","46.99","56.64","65.14","17.04","9.65","11","Yes","Yes"
"24mmCSB","24mm Combination Spanner",,"R 0.00","0","211.44","243.16","0","211.44","5","Yes","Yes"
"250gWBOD","250g Woodfil BRUMR Oak Dark",,"R 0.00","0","39.99","45.99","0","39.99","3","Yes","Yes"
"250mmS","250mm Shifter",,"R 0.00","0","240","276","0","240","5","Yes","Yes"
