sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"HCG16","H/CLAMP G16 17-38 [P/100]",,"R 0.00","0","859","987.85","0","859","2","Yes","Yes"
"HCN","H/CLAMP NORMAL",,"R 43.20","43.2","0","0","0","-43.2","1","Yes","Yes"
"HCT12","Hose Clear Thinwall 12mm(Per Meter)",,"R 0.00","0","18","20.7","0","18","600","Yes","Yes"
"HCT300X4.7","Hellerman Cable Tie Ties 300x4.7",,"R 0.00","0","112","128.8","0","112","825","Yes","Yes"
"HDB","Hard Detailing Brush",,"R 123.48","90.55","194","223.1","53.32","103.45","10","Yes","Yes"
"HDBS921","Heavy Duty Stanley Blades (100) 921 Long",,"R 250.97","250.97","501.56","576.79","49.96","250.59","-2","Yes","Yes"
"HDLO","Handex Hand Cleaner with Grit 4.5kg",,"R 0.00","0","360.23","414.26","0","360.23","-5","Yes","Yes"
"HDRU","HEAVY DUTY RUBBERIZED UNDERCOATED",,"R 0.00","0","70","80.5","0","70","9","Yes","Yes"
"Hdw","Plastic Hand Dryer 1800W",,"R 2,304.35","384.06","1500","1725","74.4","1115.94","6","Yes","Yes"
"Heg200","Heat rsist Red Glove 200",,"R 59.95","29.98","160","184","81.26","130.02","2","Yes","Yes"
"HEK15Kw","HydroBoil 1.5 kW Element Kit",,"R 0.00","0","955","1098.25","0","955","1","Yes","Yes"
"HEX KEY SET 9Piece Hex","Hkee",,"R 20.16","20.16","140","161","85.6","119.84","1","Yes","Yes"
"HFF","Helmet Flipfront",,"R 0.00","0","140","161","0","140","8","Yes","Yes"
"HGGF","Cap Size Boot defender",,"R 0.00","0","308.72","355.03","0","308.72","-13","Yes","Yes"
"HGPK","Black/Red Large P-U Glove",,"R 0.00","0","59.36","68.26","0","59.36","-24","Yes","Yes"
"HJOO","20 Triple Big Blue Filter Complete Global",,"R 0.00","0","3130.48","3600.05","0","3130.48","-1","Yes","Yes"
"HKGO","Diesel Pump 12v",,"R 0.00","0","3999.99","4599.99","0","3999.99","-1","Yes","Yes"
"HKOP","M5 Hex Nuts/SS (/100)",,"R 0.00","0","16.93","19.47","0","16.93","0","Yes","Yes"
"HM5338","HSS SPRINT MASTER 5.0MM BULK DIN 338 ALPEN",,"R 0.00","0","22.36","25.71","0","22.36","5","Yes","Yes"
"HMMRT PNT","Hammerite Paint 5L",,"R 543.48","49.41","2690","3093.5","98.16","2640.59","11","Yes","Yes"
"HNM20","M20 GR 8 H/T HEX NUT Z/P",,"R 0.00","0","374.53","430.71","0","374.53","0","Yes","Yes"
"HNS5l","5 Litre Hand Soap",,"R 0.00","0","89","102.35","0","89","0","Yes","Yes"
"HO","Hydraulic oil HV 32 20 Litre",,"R 637.98","159.5","1300.2","1495.23","87.73","1140.7","4","Yes","Yes"
"HO20l","Hydraulic Oil 20 Litre",,"R 617.59","247.04","1283.8","1476.37","80.76","1036.76","5","Yes","Yes"
"HP200G","Hemp Plumbers 200G",,"R 0.00","0","74.5","85.68","0","74.5","19","Yes","Yes"
"HPB8m","Hose P U Blue 8mm",,"R 9.75","9.75","16.25","18.69","40","6.5","30","Yes","Yes"
"HpR230","Handle P/Roller 230mm",,"R 0.00","0","18","20.7","0","18","4","Yes","Yes"
"HRR","Heritage Rubber Roller",,"R 180.99","180.99","202.5","232.87","10.62","21.51","100","Yes","Yes"
"HS25L","25 Litre Hand Sanitizer",,"R 849.55","339.82","1050","1207.5","67.64","710.18","5","Yes","Yes"
"HS4","Haspen Stable 4 100mm",,"R 12.68","12.68","0","0","0","-12.68","3","Yes","Yes"
"HS40609w","Hose Clamp 40-60/9W",,"R 0.00","0","1950","2242.5","0","1950","1.95","Yes","Yes"
"HS813","Hose Silicone 8mm (13mm OD) [Per Meter]",,"R 0.00","0","91","104.65","0","91","-15","Yes","Yes"
"HSC20","HOSE CLEAR RE-INF 20mm",,"R 32.85","28.16","90","103.5","68.71","61.84","35","Yes","Yes"
"HSH125mm","HASP & Staple H/D N/PL Matlock 125mm",,"R 0.00","0","189","217.35","0","189","5","Yes","Yes"
"HSS1212","1/2-13x1.1/4 GR 5 H/T UNC HEX SET SCREW",,"R 279.26","279.26","378.29","435.03","26.18","99.03","0.5","Yes","Yes"
"HSS562","3/8-16x1 GR 5 H/T UNC HEX SET SCREW",,"R 121.36","121.36","171.68","197.43","29.31","50.32","0.5","Yes","Yes"
"HSSM42338","HSS SPRINT MASTER 4.2MM BULK DIN 338 ALPEN",,"R 232.30","65.44","18","20.7","-263.56","-47.44","13.5","Yes","Yes"
"HSTD","Single Wash Through SS 545x380mm",,"R 0.00","0","1475","1696.25","0","1475","0","Yes","Yes"
"HTC","Hacksaw T/C",,"R 80.00","80","175","201.25","54.29","95","0","Yes","Yes"
"HTGR","M5 GR 8 H/T HEX NUT Z/P",,"R 6.46","6.46","7.75","8.91","16.65","1.29","0.5","Yes","Yes"
"HTICT","Hellermann Tyton Insulock Cable Ties",,"R 0.00","0","85","97.75","0","85","985","Yes","Yes"
"HTM816","M8x16 Set HT (Per 100)",,"R 62.00","62","145.92","167.81","57.51","83.92","0","Yes","Yes"
"HTM820","M8X20 Set HT (Per 100)",,"R 72.00","72","170.19","195.72","57.69","98.19","0","Yes","Yes"
"HXN140","H/CLAMP NORMA 140-160/9",,"R 0.00","0","5780","6647","0","5780","5","Yes","Yes"
"HYL9","Household Yellow - Large/9 (pairs)",,"R 0.00","0","66.24","76.18","0","66.24","2","Yes","Yes"
"IAG20G","Instant Adhensive Glue 20G",,"R 21.74","0.98","35","40.25","97.2","34.02","938","Yes","Yes"
"ID131100","IMPACT DRILL 13MM 1100W 2 X SPEED 1200/3200",,"R 0.00","0","999","1148.85","0","999","-1","Yes","Yes"
"IllM10N","M10 Nut(Per 100)",,"R 0.00","0","62.1","71.41","0","62.1","10","Yes","Yes"
"Illm10x12a2","M10x12 S/S A2 SKT GRUB(per 100)",,"R 50.05","50.05","93.97","108.07","46.74","43.92","0","Yes","Yes"
"Illm20","Threaded Rod Galvanised M20x3",,"R 0.00","0","240","276","0","240","10","Yes","Yes"
"Illm6x100","M6x100 S/S A2 HEX HD SET SCRW(Per 100)",,"R 0.00","0","181.64","208.89","0","181.64","2","Yes","Yes"
"IllM812","M8x12 S/S A2 SKT GRUB(Per 100)",,"R 0.00","0","60.06","69.07","0","60.06","0","Yes","Yes"
"IMC150mm","Inside Meas Caliper-150mm",,"R 0.00","0","43.5","50.02","0","43.5","5","Yes","Yes"
"INTS","Installation of Insect Screen Window",,"R 0.00","0","750","862.5","0","750","0","Yes","Yes"
"IPP25","ISO PROPANOL PURE 25 Litre",,"R 0.00","0","1335","1535.25","0","1335","4","Yes","Yes"
"IS0","Irida Spray Orange",,"R 28.00","20.46","89","102.35","77.01","68.54","18","Yes","Yes"
"ISB","Irida Spray Blue",,"R 95.00","5.59","89","102.35","93.72","83.41","17","Yes","Yes"
"ISDG","Irida Spray Dark Green",,"R 0.00","0","89","102.35","0","89","18","Yes","Yes"
"ISG","Irida Spray Green",,"R 95.00","19","89","102.35","78.65","70","15","Yes","Yes"
"ISL","Irida Spray Lime",,"R 0.00","0","89","102.35","0","89","18","Yes","Yes"
"ISNB","Irida Spray Navy Blue",,"R 37.26","8.07","89","102.35","90.93","80.93","21","Yes","Yes"
"ISP","Irida Spray Purple",,"R 0.00","0","89","102.35","0","89","20","Yes","Yes"
"ISPK","Irida Spray Pink",,"R 0.00","0","89","102.35","0","89","18","Yes","Yes"
"ISR","Irida Spray Red",,"R 0.00","0","89","102.35","0","89","18","Yes","Yes"
"ISTQ","Irida Spray TQ",,"R 0.00","0","89","102.35","0","89","18","Yes","Yes"
"IT2466m","Invisible Tape 24x66mm",,"R 0.00","0","203.66","234.21","0","203.66","150","Yes","Yes"
"ITWS","TD Insect Screen Window 1685w x 695h",,"R 0.00","0","1983.23","2280.71","0","1983.23","0","Yes","Yes"
"J4cCP302","J4 Circlip Plier GED I/S 302mm",,"R 434.15","86.83","950","1092.5","90.86","863.17","5","Yes","Yes"
"JC25l","Plastic Jerry Can 25 Litre",,"R 125.13","64.4","130","149.5","50.46","65.6","21","Yes","Yes"
"JFD","Jeyes Fluid Disinfectant 5L",,"R 0.00","0","190","218.5","0","190","998","Yes","Yes"
"JK78GH","50x63x2 Male Adaptor AM3",,"R 0.00","0","40.23","46.26","0","40.23","-6","Yes","Yes"
"JKKJ","M6 NYLOC HEX NUT PITCH 1.00",,"R 99.70","99.7","15.36","17.66","-549.09","-84.34","0.5","Yes","Yes"
"JS12","Jump start 12/24V 1200/600A ARG",,"R 0.00","0","7999","9198.85","0","7999","5","Yes","Yes"
"JSGS12","12mm x 30m PP D/SIDED TAPE Altezze (72 /Box)",,"R 0.00","0","1464","1683.6","0","1464","-1","Yes","Yes"
"KAPD50","PADLOCK TRI-CIRCLE KEYED ALIKE 265KA 50MM (60)",,"R 197.40","197.4","305","350.75","35.28","107.6","20","Yes","Yes"
"KBE","Kidney Belt Elasticated All Sizes",,"R 0.00","0","140","161","0","140","50","Yes","Yes"
"KD","Kono Boot",,"R 313.04","19.57","312","358.8","93.73","292.43","16","Yes","Yes"
"Kh3mm","Key T-Handle K/T B/P 3mm",,"R 0.00","0","109","125.35","0","109","10","Yes","Yes"
"KLABL","BLADE CONTRACTOR ALUM 300 X 96T 30/1/20/16",,"R 369.33","369.33","599","688.85","38.34","229.67","0","Yes","Yes"
"KLCB","Sediment Filter 20 inch - 10 Micron Jumbo",,"R 0.00","0","325.36","374.16","0","325.36","-3","Yes","Yes"
"KLOP","Sediment Filter 20 inch - 05 Micron Jumbo",,"R 0.00","0","325.36","374.16","0","325.36","-3","Yes","Yes"
"KLPO","20Inch Carbon Block (CTO) Filter Cartridge",,"R 0.00","0","455.36","523.66","0","455.36","-3","Yes","Yes"
"KLPS","Pneumatic Cylinder",,"R 870.00","870","1800","2070","51.67","930","0","Yes","Yes"
"KMPL","Toilet roll Holder Lockable: Stainless Steel",,"R 339.14","339.14","799.95","919.94","57.6","460.81","0","Yes","Yes"
"KNLS4","AA Battery (Pack of 4)",,"R 0.00","0","42.12","48.44","0","42.12","0","Yes","Yes"
"KOAS","20 inc filter Cartrige Spanner",,"R 0.00","0","219.68","252.63","0","219.68","-1","Yes","Yes"
"KODP","Plastic Pait roller extension",,"R 0.00","0","139","159.85","0","139","0","Yes","Yes"
"KOP89","2Socket Female BSP",,"R 0.00","0","81.42","93.63","0","81.42","-6","Yes","Yes"
"KR25M","Key Rings 25MM 100PCS",,"R 15.64","15.64","22.45","25.82","30.33","6.81","18","Yes","Yes"
"KR28M","Key Rings 28MM 100PCS",,"R 18.78","18.78","25.91","29.8","27.52","7.13","0","Yes","Yes"
"kR36m","Key Ring 36mm",,"R 77.14","77.14","1.88","2.16","-4003.19","-75.26","-96","Yes","Yes"
"KS","Stanley Knife Trim 199",,"R 0.00","0","185","212.75","0","185","985","Yes","Yes"
"KSp60011","WATER PAPER KS PS 11A P600",,"R 0.00","0","1260","1449","0","1260","1.5","Yes","Yes"
"KSSS","M5x16 Cheese Head Screw/Galv (/100)",,"R 18.00","18","20.7","23.8","13.04","2.7","0","Yes","Yes"
"KVBCK","Kende Vehicle Battery Charger Kit - 12/24V with Boost (50 Amp/50Hz)",,"R 0.00","0","3563.3","4097.8","0","3563.3","10","Yes","Yes"
"KY7","Key Y7",,"R 0.00","0","13.2","15.18","0","13.2","1","Yes","Yes"
"L0270m","270ml Linseed Oil Raw",,"R 0.00","0","93","106.95","0","93","5","Yes","Yes"
"L701200","LEVEL STABILA -70 1200mm",,"R 0.00","0","590","678.5","0","590","5","Yes","Yes"
"LC277","Loctite 277",,"R 0.00","0","690","793.5","0","690","96","Yes","Yes"
"LCBB","Chalk Blocks for Trucks",,"R 185.00","185","395","454.25","53.16","210","0","Yes","Yes"
"LCBC22","Lock C/Board Cylinder 22mm",,"R 121.79","16.24","243","279.45","93.32","226.76","15","Yes","Yes"
"LDST","Double Sided Tape",,"R 0.00","0","100","115","0","100","-100","Yes","Yes"
"LEDFT20w","LED Sky White FLourescent Tube 5FT 20W (*20)",,"R 47.95","39.96","135","155.25","70.4","95.04","30","Yes","Yes"
"LedL","Osram Ledvance 100w Led Flood Floodlight",,"R 234.00","234","726.26","835.2","67.78","492.26","5","Yes","Yes"
"LEDT8-A3FR-DL","230 VAC 13W Daylight Froster 900mm (3ft), LED T8 Tube",,"R 25.23","25.23","106.59","122.58","76.33","81.36","10","Yes","Yes"
"LFFEA","Location Of Fire Fighting Equipment Arrow Sign(190x190)",,"R 0.00","0","40","46","0","40","-34","Yes","Yes"
"LFL200W","Light Flood LED 200W AC",,"R 0.00","0","1410","1621.5","0","1410","5","Yes","Yes"
"Lg610","Lug Tinned 6x10 [Per 100]",,"R 0.00","0","732","841.8","0","732","4.5","Yes","Yes"
"LGBK","Large Q Bond Kit",,"R 70.00","0.07","220","253","99.97","219.93","997","Yes","Yes"
"Line06","LINE 50LB 0.6MM X 100M - NYLON MASONS LINE - 22.7KG ON SPOOL",,"R 0.00","0","27.47","31.59","0","27.47","3","Yes","Yes"
"LL15M","LED Light 1.5m",,"R 0.00","0","1400","1610","0","1400","0","Yes","Yes"
"LLKI","100mm Clear Poly urethane ducting hose (only 10m coils) Price Per Mtr",,"R 0.00","0","315","362.25","0","315","-50","Yes","Yes"
"LLU52","18W 230VAC LINKABLE UNDERCOUNTER LIGHT 1200MM CW 4200K",,"R 0.00","0","205","235.75","0","205","0","Yes","Yes"
"LNAC","Air Gun Long Nozzle Air A/Craft AD02",,"R 6.00","5.94","112.95","129.89","94.74","107.01","301.05","Yes","Yes"
"LNM10G","M10x30 17 AF Long Nut Z/P",,"R 429.00","429","680.56","782.64","36.96","251.56","0","Yes","Yes"
"LNP","Long Nose Plier 200mm",,"R 0.00","0","76.8","88.32","0","76.8","5","Yes","Yes"
"LNP160","Long Nose Plier 160mm",,"R 0.00","0","118.96","136.8","0","118.96","9999","Yes","Yes"
"LNP200M","200MM Long Nose Plier",,"R 51.20","51.2","61.44","70.66","16.67","10.24","10","Yes","Yes"
"LP20mm","20mm Lock Pedestal",,"R 0.00","0","100","115","0","100","-10","Yes","Yes"
"LPR","Latex PR",,"R 56.59","56.59","68.4","78.66","17.27","11.81","200","Yes","Yes"
"LPS","PHILIPS-HPM17 LAMP",,"R 2,495.00","499","2999","3448.85","83.36","2500","5","Yes","Yes"
"LS1m","Level Stabila 1m",,"R 0.00","0","499","573.85","0","499","999","Yes","Yes"
"LS80600","LEVEL STABILA -70 600mm",,"R 0.00","0","429","493.35","0","429","5","Yes","Yes"
"LSBBL2L","SABS Lockset BBL 2L",,"R 86.96","0.09","99","113.85","99.91","98.91","996","Yes","Yes"
"LSTT","Lock Set 2L",,"R 0.00","0","110","126.5","0","110","-1","Yes","Yes"
"LT50","50gr Loct Hi-Temp Red",,"R 0.00","0","632","726.8","0","632","-3","Yes","Yes"
"Lt66","Lug Tinned 6x6 [Per 100]",,"R 0.00","0","286","328.9","0","286","8.5","Yes","Yes"
"Lugs70","LOCT Ultra Grey Silicone 70ml",,"R 0.00","0","185","212.75","0","185","10","Yes","Yes"
"LWEH","M4 EXT STAR LOCKWASHER Z/P",,"R 4.92","4.92","5.96","6.85","17.45","1.04","0","Yes","Yes"
"M1012AGS","M10 X 12 A2 GRUB SCREW(Per 100)",,"R 78.31","15.66","162.84","187.27","90.38","147.18","25","Yes","Yes"
"M1012ill","M10x12 S/S A2 SKT GRUB",,"R 0.00","0","90.84","104.47","0","90.84","10","Yes","Yes"
"M10150B","M10x150 Bolt HT",,"R 0.00","0","1945","2236.75","0","1945","1.9","Yes","Yes"
"M1020dp","M10 x 20 Dowel Pin",,"R 1,201.07","34.98","27.93","32.12","-25.24","-7.05","20.6","Yes","Yes"
"M1045","M10x25 4.6 M/S HEX HD SET SCREW Z/P",,"R 0.00","0","1.14","1.31","0","1.14","20","Yes","Yes"
"M1050SHT","M10x50 Set HT",,"R 2.20","2.21","768","883.2","99.71","765.79","198.9","Yes","Yes"
"M10DIA","M10 Drop In Anchor (P/100)",,"R 0.00","0","401","461.15","0","401","4","Yes","Yes"
"M10FFW","M10 S/S A2 FLAT WASHER FORM B",,"R 0.00","0","0.26","0.3","0","0.26","0","Yes","Yes"
"M10FWILL","M10 FLAT WASHER FORM B Z/P",,"R 0.00","0","8.9","10.23","0","8.9","0","Yes","Yes"
"M10G","M10 Nut Galvanised",,"R 55.86","9.31","171","196.65","94.56","161.69","6","Yes","Yes"
"M10HTT","M10 GR 8 H/T HEX NUT Z/P",,"R 476.40","476.4","55.36","63.66","-760.55","-421.04","0.5","Yes","Yes"
"M10NN","M10 Nyloc Nut",,"R 0.00","0","65","74.75","0","65","5","Yes","Yes"
"M10NNSS","Nut Nyloc S/S A2 M10",,"R 162.00","32.4","541","622.15","94.01","508.6","5","Yes","Yes"
"M10re","M10 Rawbolt with eye (per 100)",,"R 1,605.50","6.89","1578","1814.7","99.56","1571.11","4.66","Yes","Yes"
"M10SCW","M10x120 4.6 M/S HEX HD SET SCREW Z/P",,"R 0.00","0","381","438.15","0","381","0","Yes","Yes"
"M10TPS","M10 Thread- Tube Plug Square",,"R 6.43","6.43","11","12.65","41.55","4.57","100","Yes","Yes"
"M10TR","M10 Threaded Rod Mild Steel",,"R 16.23","0.03","35","40.25","99.91","34.97","30020","Yes","Yes"
"M10wSQ","M10 Washer Spring SQ/Med",,"R 0.00","0","26","29.9","0","26","3.2","Yes","Yes"
"M10x30SH","M10x30 SET HT",,"R 0.00","0","536","616.4","0","536","4.9","Yes","Yes"
"M10x65SG","M10x65 Set Galv",,"R 0.00","0","7.5","8.63","0","7.5","20","Yes","Yes"
"M10x75CS","M10x75 Coachscrew[Per 100]",,"R 173.25","69.3","499","573.85","86.11","429.7","5","Yes","Yes"
"M12","PLUG N/PL 1/2",,"R 0.00","0","47.5","54.62","0","47.5","9","Yes","Yes"
"M1210SF","M12X100 SET FULL THREADED",,"R 0.00","0","986.7","1134.7","0","986.7","99","Yes","Yes"
"M12120NF","M12 X 120 HT Bolt E/G",,"R 7.90","7.9","13.64","15.69","42.08","5.74","200","Yes","Yes"
"M12120WA","M12x120 Wedge Anchor",,"R 982.18","245.55","1500","1725","83.63","1254.45","2","Yes","Yes"
"M1225","M12x25 Set screw (p/100)",,"R 223.00","0.22","400","460","99.94","399.78","1000","Yes","Yes"
"M1230SGNf","M12 X 30 E/G HT SET",,"R 2.33","3.97","3.34","3.84","-18.86","-0.63","302","Yes","Yes"
"M12BG","M12 HT Bolt Galv x120 (8.8) [P/100]",,"R 790.00","0.08","880","1012","99.99","879.92","10001","Yes","Yes"
"M12DIA","M12 Drop In Anchor p/100",,"R 0.00","0","812","933.8","0","812","5","Yes","Yes"
"M12FFW","M12 S/S A2 FLAT WASHER FORM B",,"R 0.00","0","0.49","0.56","0","0.49","0","Yes","Yes"
"M12Fwf","M12 FLAT WASHER FORM B Z/P(Per 100)",,"R 12.05","12.05","14.46","16.63","16.67","2.41","5","Yes","Yes"
"M12NG","M12 Nut Galvanised",,"R 0.67","0.65","298","342.7","99.78","297.35","309","Yes","Yes"
"M12NGill","M12 Nut Galvanised (each)",,"R 0.00","0","0.76","0.87","0","0.76","-500","Yes","Yes"
"M12NNF","M12 HT NUT EG",,"R 69.00","69","1.4","1.61","-4828.57","-67.6","-689","Yes","Yes"
"M12SG","HT M12 Bolt Galv x120 (8.8) (P/100)",,"R 0.00","0","799","918.85","0","799","10000","Yes","Yes"
"M12SG100","Set Galv M12 x100(P/100)",,"R 660.00","13.07","988","1136.2","98.68","974.93","101","Yes","Yes"
"M12SG3","M12 Set Galv HTx30",,"R 1.80","2.35","460.22","529.25","99.49","457.87","219.5","Yes","Yes"
"M12SQM","M12 SQ MED SPR WASHER Z/P(Per 100)",,"R 7.88","7.88","9.46","10.88","16.7","1.58","5","Yes","Yes"
"M12T","TAP M12x1.75 S/P FEW",,"R 758.10","8.33","490","563.5","98.3","481.67","9.1","Yes","Yes"
"M12TG","M12 Thread Rod MS Galvanised",,"R 10,343.40","120.54","59","67.85","-104.31","-61.54","25.15","Yes","Yes"
"M12WP","M12 Wall Plug",,"R 0.00","0","109.99","126.49","0","109.99","3","Yes","Yes"
"M12x120","HT Set M12x120",,"R 0.75","0.17","12","13.8","98.58","11.83","1020","Yes","Yes"
"M12x30","M12x30 HT Set",,"R 2.50","0.01","4.99","5.74","99.8","4.98","99600","Yes","Yes"
"M12x45SG","M12x45 Set Galv",,"R 0.00","0","8.7","10","0","8.7","8","Yes","Yes"
"M14 nt","M14 Nut Galvanised",,"R 0.00","0","370","425.5","0","370","9","Yes","Yes"
"M1440CSK","M14x 40 Countersunk caps",,"R 3,134.08","3134.08","39.87","45.85","-7760.75","-3094.21","0.5","Yes","Yes"
"M1630WD","M16 Washer Din 30x3",,"R 24.98","12.49","93.3","107.29","86.61","80.81","4","Yes","Yes"
"M163ILL","M16x3M Threaded Rod Galvanised",,"R 189.00","189","169","194.35","-11.83","-20","0","Yes","Yes"
"M168ill","M16 GR 8 H/T HEX NUT Z/P(per 100)",,"R 127.93","42.64","153.52","176.55","72.23","110.88","15","Yes","Yes"
"M16B","M16X60 BOLT HT",,"R 489.13","489.13","270","310.5","-81.16","-219.13","0","Yes","Yes"
"M16CN","M16 Cleveloc Nut",,"R 2,894.00","16.88","2476","2847.4","99.32","2459.12","2.92","Yes","Yes"
"M16HX","M16 HEX Nut Galvanised",,"R 0.00","0","3.99","4.59","0","3.99","400","Yes","Yes"
"M16N","M16 Nut HT",,"R 200.00","100","252","289.8","60.32","152","4","Yes","Yes"
"M16Wa","M16 Flat Washers Galvanised",,"R 22.02","0.38","0.93","1.07","59.14","0.55","807","Yes","Yes"
"M16x110CS","M16x110 Cap Screw",,"R 5,863.00","21.79","5857","6735.55","99.63","5835.21","50.89","Yes","Yes"
"M20373WD","M20 37x3 Washer Din",,"R 0.00","0","235","270.25","0","235","2.88","Yes","Yes"
"M203tr","M20x3m Galvanized Threaded Rod",,"R 21,422.19","438.23","499","573.85","12.18","60.77","25.26","Yes","Yes"
"M2075","M20x75 HT SET [Per 100]",,"R 0.00","0","4550","5232.5","0","4550","5","Yes","Yes"
"M20NG","M20 Nut Galvanised HT",,"R 0.00","0","999.56","1149.49","0","999.56","0","Yes","Yes"
"M20wa","M20 Washer Spring SQ/MED",,"R 80.00","5.19","122","140.3","95.75","116.81","3.08","Yes","Yes"
"M2250SH","M22x50 Set HT",,"R 2,895.67","42.79","48.26","55.5","11.33","5.47","8.12","Yes","Yes"
"M22NH","M22 Nut HT",,"R 704.33","10.41","11.74","13.5","11.33","1.33","8.12","Yes","Yes"
"M22WFG","M22 Washer Galvanised Flat",,"R 117.42","1.74","1.96","2.25","11.22","0.22","8.12","Yes","Yes"
"M22WGS","M22 Washer Galvanised Spring",,"R 134.17","1.98","2.24","2.58","11.61","0.26","8.12","Yes","Yes"
"M27100SH","M27x100 SET HT[each]",,"R 288.00","144","150","172.5","4","6","2","Yes","Yes"
"M293thr","M20x3m 4.8 M/S THREADED ROD Z/P",,"R 0.00","0","240.5","276.57","0","240.5","-16","Yes","Yes"
"M300gr","Large Mop 300gr",,"R 31.21","31.21","80","92","60.99","48.79","-19","Yes","Yes"
"M312htCSK","M3x12 HT CSK Cap",,"R 30.00","30","44","50.6","31.82","14","2","Yes","Yes"
"M316","CSK CAP M3x16",,"R 0.00","0","81","93.15","0","81","3","Yes","Yes"
"M320CHS","M3x20 Cheese Head Screws",,"R 0.00","0","60.45","69.52","0","60.45","0","Yes","Yes"
"M36BG","M36X230 HT Bolt",,"R 0.00","0","602","692.3","0","602","0","Yes","Yes"
"M3FW","M3 flat washer",,"R 2.00","2","5","5.75","60","3","0","Yes","Yes"
"M3HNG","M3 HEX Nut Galvanised(each)",,"R 3.60","0.21","0.12","0.14","-75","-0.09","615","Yes","Yes"
"M3NE","M3 HT Nut EG",,"R 0.00","0","0.62","0.71","0","0.62","1485","Yes","Yes"
"M3NN","M3 Nut Nyloc",,"R 46.00","7.67","13.75","15.81","44.22","6.08","6","Yes","Yes"
"M3SP","M3 Sring Washer Per 100",,"R 2.00","2","0.06","0.07","-3233.33","-1.94","-2079","Yes","Yes"
"M3WS","M3 Washer Star EXT[Per 100]",,"R 4.80","2.4","6","6.9","60","3.6","30","Yes","Yes"
"M3x20CS","Cap Screws M3x20",,"R 7.80","9.24","132","151.8","93","122.76","11","Yes","Yes"
"M410CHIll","M4x10 Cheese Head SLT M/SCRW Z/P",,"R 0.00","0","10.3","11.85","0","10.3","90","Yes","Yes"
"M410csk","M4 x 10 CSK Machine Slotted(Per 100)",,"R 0.00","0","62.1","71.41","0","62.1","10","Yes","Yes"
"M412CSK","M4x12 CSK CAP",,"R 0.18","0.18","98","112.7","99.82","97.82","605","Yes","Yes"
"M435CS","M4x35 Cap Screw",,"R 1,175.00","1175","235","270.25","-400","-940","0","Yes","Yes"
"M46csk","M4x6 CSK Cap",,"R 45.22","22.61","43","49.45","47.42","20.39","10","Yes","Yes"
"M475MS","M/SCREW CH Z/P M4x 75mm [P/100]",,"R 64.81","64.81","82","94.3","20.96","17.19","1","Yes","Yes"
"M4FWIll","M4 FLAT WASHER FORM B Z/P",,"R 0.00","0","1.53","1.76","0","1.53","0","Yes","Yes"
"M4GS","M4x25 Grub Screw",,"R 0.00","0","160.59","184.68","0","160.59","0","Yes","Yes"
"M4SP","M4 Spring Toggle Only",,"R 0.00","0","250","287.5","0","250","1000","Yes","Yes"
"M4WBS","M4 Washer BS 9x0.7",,"R 1.00","0.07","5","5.75","98.6","4.93","101","Yes","Yes"
"M4x10Ill","M4x10 CheeseHead Stainless Steel(Per 1000)",,"R 0.00","0","345","396.75","0","345","10","Yes","Yes"
"M4x16CS","Cap Screw M4x16",,"R 0.00","0","199.99","229.99","0","199.99","-1","Yes","Yes"
"M4x20CSK","M4x20 countersunk cap screw",,"R 34.80","0.26","0.43","0.49","39.53","0.17","800","Yes","Yes"
"M4x25cs","M4x25 Grub Screw",,"R 22.20","8.88","160","184","94.45","151.12","4","Yes","Yes"
"M512BHS","M5 x 12 Button Head Screw(Per 100)",,"R 28.70","7.17","40.3","46.34","82.21","33.13","20","Yes","Yes"
"M516","Cap Screw M5x16",,"R 104.00","11.56","169.9","195.38","93.2","158.34","4","Yes","Yes"
"M516bhs","M5x16 Button Head Screw(Per 100)",,"R 28.70","7.17","45.5","52.32","84.24","38.33","20","Yes","Yes"
"M51illTR","M5x1m 4.8 M/S THREADED ROD Z/P",,"R 655.82","0","786.84","904.87","0","786.84","5","Yes","Yes"
"M525CS","M5x25 Cap Screw",,"R 121.60","48","233","267.95","79.4","185","9","Yes","Yes"
"M545cs","M5x45 Cap Screw",,"R 119.20","51.36","290","333.5","82.29","238.64","5","Yes","Yes"
"M5550c","M5x50 Cap Screw",,"R 173.91","43.48","346","397.9","87.43","302.52","4","Yes","Yes"
"M5935","3M5935 PreFilter P3 20/Box. Price Each MOQ is 20",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"M5G3","M5x3M Galvanised Threaded Rod",,"R 0.00","0","69.09","79.45","0","69.09","0","Yes","Yes"
"M5NG","M5 Nut Galvanised HT",,"R 0.08","0.08","31","35.65","99.74","30.92","1000","Yes","Yes"
"M5WN","M5 Washer Nylon",,"R 90.00","0.06","0.45","0.52","86.67","0.39","3002","Yes","Yes"
"M5x080SG","Tap M5",,"R 0.00","0","259","297.85","0","259","3","Yes","Yes"
"M5x12CS","M5x12 Cap Screws",,"R 0.32","0.35","145","166.75","99.76","144.65","505","Yes","Yes"
"M5x20CS","M5x20 Cap Screw",,"R 108.00","12","208","239.2","94.23","196","9","Yes","Yes"
